trackId,albumId,trackName
892,83,Beautiful
893,83,Way Over Yonder
894,83,You've Got A Friend
895,83,Where You Lead
896,83,Will You Love Me Tomorrow?
897,83,Smackwater Jack
898,83,Tapestry
899,83,(You Make Me Feel Like) A Natural Woman
900,84,Runnin' With The Devil
901,84,Eruption
902,84,You Really Got Me
903,84,Ain't Talkin' 'Bout Love
904,84,I'm The One
905,84,Jamie's Cryin'
906,84,Atomic Punk
907,84,Feel Your Love Tonight
908,84,Little Dreamer
909,84,Ice Cream Man
910,84,On Fire
911,85,Hanging On The Telephone
912,85,One Way Or Another
913,85,Picture This
914,85,Fade Away And Radiate
915,85,Pretty Baby
916,85,I Know But I Don't Know
917,85,11:59
918,85,Will Anything Happen
919,85,Sunday Girl
920,85,Heart Of Glass
921,85,I'm Gonna Love You Too
922,85,Just Go Away
923,86,School
924,86,Bloody Well Right
925,86,Hide In Your Shell
926,86,Asylum
927,86,Dreamer
928,86,Rudy
929,86,If Everyone Was Listening
930,86,Crime Of The Century
931,87,Highway Star
932,87,Child In Time
933,87,Smoke On The Water
934,87,The Mule
935,87,Strange Kind Of Woman
936,87,Lazy
937,87,Space Truckin'
938,88,Blew
939,88,Floyd The Barber
940,88,About A Girl
941,88,School
942,88,Love Buzz
943,88,Paper Cuts
944,88,Negative Creep
945,88,Scoff
946,88,Swap Meet
947,88,Mr. Moustache
948,88,Sifting
949,89,Imagine
950,89,Crippled Inside
951,89,Jealous Guy
952,89,It's So Hard
953,89,I Don't Want To Be A Soldier
954,89,Give Me Some Truth
955,89,Oh My Love
956,89,How Do You Sleep?
957,89,How?
958,89,Oh Yoko!
959,90,Help!
960,90,The Night Before
961,90,You've Got To Hide Your Love Away
962,90,I Need You
963,90,Another Girl
964,90,You're Going To Lose That Girl
965,90,Ticket To Ride
966,90,Act Naturally
967,90,It's Only Love
968,90,You Like Me Too Much
969,90,Tell Me What You See
970,90,I've Just Seen A Face
971,90,Yesterday
972,90,Dizzy Miss Lizzy
973,91,Next To You
974,91,So Lonely
975,91,Roxanne
976,91,Hole In My Life
977,91,Peanuts
978,91,Can't Stand Losing You
979,91,Truth Hits Everybody
980,91,Born In The 50's
981,91,Be My Girl
982,91,Sally
983,91,Masoko Tanga
984,92,Atrocity Exhibition
985,92,Isolation
986,92,Passover
987,92,Colony
988,92,A Means To An End
989,92,Heart And Soul
990,92,Twenty Four Hours
991,92,The Eternal
992,92,Decades
993,93,15 Step
994,93,Bodysnatchers
995,93,Nude
996,93,Weird Fishes/Arpeggi
997,93,All I Need
998,93,Faust Arp
999,93,Reckoner
1000,93,House Of Cards
1001,93,Jigsaw Falling Into Place
1002,93,Videotape
1003,94,Carousel Waltz
1004,94,Tunnel Of Love
1005,94,Romeo And Juliet
1006,94,Skateaway
1007,94,Expresso Love
1008,94,Hand In Hand
1009,94,Solid Rock
1010,94,Les Boys
1011,95,Speed King
1012,95,Bloodsucker
1013,95,Child In Time
1014,95,Flight Of The Rat
1015,95,Into The Fire
1016,95,Living Wreck
1017,95,Hard Lovin' Man
1018,96,Overture
1019,96,It's A Boy
1020,96,1921
1021,96,Amazing Journey
1022,96,Sparks
1023,96,Eyesight For The Blind (The Hawker)
1024,96,Christmas
1025,96,Cousin Kevin
1026,96,The Acid Queen
1027,96,Underture
1028,96,Do You Think It's Alright?
1029,96,Fiddle About
1030,96,Pinball Wizard
1031,96,There's A Doctor
1032,96,Go To The Mirror!
1033,96,Tommy Can You Hear Me?
1034,96,Smash The Mirror
1035,96,Sensation
1036,96,Miracle Cure
1037,96,Sally Simpson
1038,96,I'm Free
1039,96,Welcome
1040,96,Tommy's Holiday Camp
1041,96,We're Not Gonna Take It
1042,97,Plainsong
1043,97,Pictures Of You
1044,97,Closedown
1045,97,Love Song
1046,97,Lullaby
1047,97,Fascination Street
1048,97,Prayers For Rain
1049,97,The Same Deep Water As You
1050,97,Disintegration
1051,97,Untitled
1052,98,Black Cow
1053,98,Aja
1054,98,Deacon Blues
1055,98,Peg
1056,98,Home At Last
1057,98,I Got The News
1058,98,Josie
1059,99,Vicious
1060,99,Andy's Chest
1061,99,Perfect Day
1062,99,Hangin' Round
1063,99,Walk On The Wild Side
1064,99,Make Up
1065,99,Satellite Of Love
1066,99,Wagon Wheel
1067,99,New York Telephone Conversation
1068,99,I'm So Free
1069,99,Goodnight Ladies
1070,100,EXP
1071,100,Up From The Skies
1072,100,Spanish Castle Magic
1073,100,Wait Until Tomorrow
1074,100,Ain't No Telling
1075,100,Little Wing
1076,100,If Six Was Nine
1077,100,You've Got Me Floating
1078,100,Castles Made Of Sand
1079,100,She's So Fine
1080,100,One Rainy Wish
1081,100,Little Miss Lover
1082,100,Bold As Love
1083,101,Give Life Back To Music
1084,101,The Game Of Love
1085,101,Giorgio By Moroder
1086,101,Within
1087,101,Instant Crush
1088,101,Lose Yourself To Dance
1089,101,Touch
1090,101,Get Lucky
1091,101,Beyond
1092,101,Motherboard
1093,101,Fragments Of Time
1094,101,Doin' It Right
1095,101,Contact
1096,102,Gimme All Your Lovin
1097,102,Got Me Under Pressure
1098,102,Sharp Dressed Man
1099,102,I Need You Tonight
1100,102,I Got The Six
1101,102,Legs
1102,102,Thug
